"time","presentation_de","presentation_fr","url","presenter_de","presenter_fr"
"ab 08:30","Begrüssungskaffee",,,,
"09:00 – 09:10","Begrüssung",,,"Stefan Keller (HSR), Horst Düster (Kanton Solothurn)",
"09:10 - 09:40","Berichte von den letzten QGIS-Entwicklertreffen. Was gibt es neues in QGIS 1.7?",,,"Otto Dassau (GBD-Consult), Werner Macho (QGIS Community Team)",
"09:40 - 09:55","QGIS Server, Webgis mit QGIS Server und GeoExt/OpenLayers",,,"Andreas Neumann (Stadt Uster)",
"09:55 - 10:10","Time Manager Plugin",,,"Anita Graser (QGIS Community Team)",
"10:10 - 10:30","QGIS goes 3D, Multivariate multitemporale Daten",,,"Marco Bernasocchi (Berna Webdesign, Uni Zürich)",
"10:30 - 11:00","Kaffeepause",,,,
"11:00 - 11:15","Versionierung von Geodaten mit Postgis und QGIS, QGIS Offline Editing",,,"Horst Düster (Kanton Solothurn)<br/>Mathias Walker (Sourcepole)",
"11:15 - 11:30","Konfektionierung von QGIS für spezielle Projekte - Qgis für die eigenen Bedürfnisse einrichten",,,"Cédric Möri (Kanton Solothurn)",
"11:30 - 11:45","Routing mit QGIS + pgRouting",,,"Anita Graser (QGIS Community Team)",
"11:45 - 12:00","Case Study: QGIS im Einsatz in der Forstbranche",,,"Jürgen Stückelberger (ecoEng)",
"12:00 - 12:30","Ausblick QGIS 1.8 und 2.0 + Diskussion",,,"Pirmin Kalberer (Sourcepole)",
"12:30 – 14:00","Mittagspause",,,,
"14:00 – 15:30","Workshops Teil 1",,,,
"15:30 – 15:45","Kaffeepause",,,,
"15:45 – 17:00","Workshops Teil 2",,,,
