time,presentation_de,presentation_fr,url,presenter_de,presenter_fr
08:30 - 09:00,"Eintreffen, Anmeldung","Accueil, inscription",,,
09:00 - 09:05,"Begrüssung, Neuigkeiten QGIS Anwendergruppe","Bienvenue, nouvelles du groupe d'utilisateurs",assets/pdf/2016/01_QGIS_Anwendertreffen-2016-News-QGIS-CH.pdf,Andreas Neumann<br/>(Kt. Zug),Andreas Neumann<br/>(Ct. Zoug)
09:05 - 09:40,"Neue Funktionen in QGIS 2.12, 2.14 und 2.16","Nouvelles fonctions de QGIS 2.12, 2.14 et 2.16",assets/pdf/2016/QGIS_improvements_from_2_10-to-2_16 -2.pdf,Andreas Neumann (Kt. Zug) und Matthias Kuhn (OPENGIS.ch),Andreas Neumann (Ct. Zoug) et Matthias Kuhn (OPENGIS.ch)
09:40 - 09:55,Arbeiten mit Geopackage und QGIS,Utiliser Geopackage en QGIS ,assets/pdf/2016/03_geopackages-qgis-usertag-2016.pdf,Pirmin Kalberer (Sourcepole),
09:55 - 10:05,QField Status update (QField videos),QField statut update (QField videos),https://vimeo.com/search?q=qfield,Matthias Kuhn (OPENGIS.ch),
10:05 - 10:15,QGIS Globe,,,Sandro Mani (Sourcepole),
10:15 - 10:25,Access control in QGIS Server,,assets/pdf/2016/06_qgis_server_accescontrol.pdf,Elisabeth Leu (Camptocamp),
10:25 - 10:55,Kaffeepause,Pause café,,,
10:55 - 11:25,qWat (Wasser-Fachschale) Status-Update,qWat (module de gestion du réseau d'eau potable),assets/pdf/2016/07_qwat.pdf,Alexandre Bosshard (Ville de Pully),
11:25 - 11:40,QGEP (Abwasser-Fachschale) Status-Update,QGEP (module d'assainissement et PGEE) - statut update,assets/pdf/2016/08_QGEP_status_update_2016.pdf,"Konradin Fischer (Fischer Ingenieure, Arbon)",
11:40 - 12:00,Betrieb von QGIS in einer heterogenen Client-Server-Umgebung,Utilisation de QGIS dans un environnement Client-Server hétérogène,assets/pdf/2016/08_Betrieb von QGIS in einer heterogenen Client-Server-Umgebung.pdf,Andreas Schmid (Kt. Solothurn),Andreas Schmid (Ct. Soleure)
12:00 - 12:20,Einsatz von QGIS in der Stadtverwaltung Nyon (technische Aspekte und Fallbeispiele),Cas d'utilisation: QGIS dans l'administration de la Ville de Nyon - aspects techniques et d'utilisation,assets/pdf/2016/10_QGIS_Nyon.pdf,Rémi Bovard (Ville de Nyon),
12:20 - 12:40,Ausgewählte neue QGIS Plugins,Nouveaux plugins sélectionnés de QGIS ,assets/pdf/2016/10_QGIS-Anwendertreffen_2016_Neue_QGIS_Plugins_Keller.pdf,Stefan Keller (Hochschule Rapperswil),
12:40 - 14:00,Mittagspause,Pause de midi,,,
14:00 - 15:30,Workshops Teil 1,Workshops partie 1,,,
,"A: <b>Vom Datenmodell zur QGIS Fachschale</b><br/>
Datenmodellierung mit ili2pg, Datenimport in PostGIS, Konfektionierung von Relationen und Formularen in QGIS",,,Stefan Ziegler (Kt. Solothurn)<br/>Oliver Jeker (Kt. Aargau),Stefan Ziegler (Ct. Soleure)<br/>Oliver Jeker (Ct. Aargovie)
,"B: <b>Neue Möglichkeiten in Symbologie und Beschriftung</b><br/>
Geometriegeneratoren, 2.5d Renderer, Pfeildarstellungen, Beschriftungsverbesserungen, etc.",,,Andreas Neumann<br/>(Kt. Zug),Andreas Neumann<br/>(Ct. Zoug)
,C: <b>Karten publizieren mit QGIS Cloud</b>,,,Pirmin Kalberer und Sandro Mani (Sourcepole),
15:30 - 15:45,Kaffeepause,,,,
15:45 - 17:00,Workshops Teil 2 (siehe oben),Workshops partie 2 (voir ci-dessus),,siehe oben,voir ci-dessus
