time,presentation_de,presentation_fr,url,presenter_de,presenter_fr
08:30 – 09:00,Eintreffen und Anmeldung,Arrivée et réception,,,
09:00 – 09:10,Begrüssung,Mot de bienvenue,,François Voisard,
09:10 – 09:40,Was gibt es Neues in QGIS?,Quoi de neuf dans QGIS ?,assets/pdf/2024/01_Neues_aus_der_QGIS_Welt-QGIS_Anwendertag_2024.pdf,"Matthias Kuhn, OPENGIS.ch",
,Projekt Fachschale AV Schweiz,Projet d’application métier pour la MO Suisse,assets/pdf/2024/01_Fachschale_der_AV_Schweiz.pdf,"Christoph Lauber, GeoplanTeam AG",
09:40 – 10:00,Was gibt es Neues in QWC2?,Quoi de neuf dans QWC2 ?,https://github.com/qgis/qwc2,"Sandro Mani, Sourcepole",
,Präsentation QWC2,Présentation QWC2,assets/pdf/2024/02_qwc2-berne24.pdf,,
10:00 – 10:20,qgis.js: QGIS-Kartendarstellungen im Browser,qgis.js : les cartes QGIS dans ton navigateur,https://github.com/qgis/qgis-js,"Michael Schmuki, OPENGIS.ch & <br/>
Andreas Neumann, IKG, ETH Zürich",
10:20 – 10:30,Cloud Optimized GeoTIFF: Stop downloading - Start streaming your geodata,Cloud Optimized GeoTIFF: Stop downloading - Start streaming your geodata,assets/pdf/2024/04_Cloud_Optimized_GeoTIFF.pdf,"Andreas Schmid, Kt. SO","Andreas Schmid, ct. SO"
10:30 – 10:50,Kaffeepause,Pause café,,,
10:50 – 11:10,Projekt SAM (Système d’avertissement modulaire) beim BAFU,Projet SAM (Système d’avertissement modulaire) dans l’OFEV,assets/pdf/2024/05_240611_QGIS-CH_BAFU_SAM.pdf,"Adrian Wicki, BAFU &<br/>
Isabel Kiefer, OPENGIS.ch",
11:10 – 11:30,kablo – Quelloffenes Projekt zur Verwaltung der Stromnetze,Kablo – Projet de Solution Open Source de gestion des réseaux électriques,assets/pdf/2024/06_kablo-qgis-user-days.pdf,"Olivier Monod, Stadt Yverdon","Olivier Monod, Ville d'Yverdon"
11:30 – 11:45,pic2map: Verwandle deine Fotos in Orthofotos,pic2map : transforme tes photos en orthophotos,assets/pdf/2024/07_qgis_user_day_pic2map.pdf,"Timothée Produit, IG group SA",
11:45 – 12:05,Gebäudeharmonisierung im Kanton Tessin,Harmonisation des bâtiments dans le canton du Tessin,assets/pdf/2024/08_QGIS-VORSTELLUNG_UCRF.pdf,"Mattia Panduri, Kt. TI","Mattia Panduri, ct. TI"
12:05 – 12:25,Interactive Elevation Filtering (QGIS 3.38),Interactive Elevation Filtering (QGIS 3.38),,"Nyall Dawson, North Road",
12:25 – 13:40,Mittagspause,Pause midi,,,
13:40 – 15:10,Workshops Teil 1,Ateliers partie 1,,,
