time,presentation_de,presentation_fr,url,presenter_de,presenter_fr
08:30 - 09:00,"Eintreffen, Anmeldung","Accueil, inscription",,,
09:00 - 09:10,"Begrüssung, Neuigkeiten QGIS Anwendergruppe","Bienvenue, nouvelles du groupe d'utilisateurs",assets/pdf/2015/Anwendertreffen 2015 - News QGIS-CH.pdf,Andreas Neumann (Stadt Uster),Andreas Neumann (Ville d'Uster)
09:10 - 09:55,"Neue Funktionen in QGIS 2.6, 2.8 und 2.10","Nouvelles  fonctions de QGIS 2.6, 2.8 et 2.10",assets/pdf/2015/QGIS-CH user meeting 2015 - QGIS 2.6 and 2.8 and 2.10 improvements.pdf,Marco Hugentobler (Sourcepole) und<br/>Andreas Neumann (Stadt Uster),Marco Hugentobler (Sourcepole) et<br/>Andreas Neumann (Ville d'Uster)
09:55 - 10:15,"Kreisbögen in QGIS und OGR, QGIS Interlis Plugin",Arcs de cercle dans QGIS et OGR. plugin QGIS Interlis,assets/pdf/2015/qgis_usertag_2015_kreisbogen_interlis.pdf,Pirmin Kalberer (Sourcepole),
10:15 - 10:45,Kaffeepause,Pause café,,,
10:45 - 11:00,Qualitätsprüfungswerkzeuge in QGIS(QGIS Enterprise oder Vorschau QGIS 2.12) ,Outils d'assurance qualité des géodonnées dans QGIS,assets/pdf/2015/geometrychecker.pdf,Sandro Mani (Sourcepole),
11:00 - 11:20,qWat - module de gestion du réseau d'eau potable,qWat module de gestion du réseau d'eau potable,assets/pdf/2015/QGIS Qwat Strategie de developpement 2015-06-10.pdf,Alexandre Bosshard (Ville de Pully),
11:20 - 11:40,QGEP Abwasserfachschale,QGEP module d'assainissement et PGE,assets/pdf/2015/qgep.pdf,Stefan Burckhardt (SJiB) und<br/>Andreas Neumann (Stadt Uster),Stefan Burckhardt (SJiB) et<br/>Andreas Neumann (Ville d'Uster)
11:40 - 11:55,QField - mobile Geodatenerfassung (Demo video),QField - acquisition mobile de géodonnées (demo video),assets/pdf/2015/talk.pdf,Marco Bernasocchi (OPENGIS.ch),
11:55 - 12:15,"Case Study: Baulandkataster der Stadt Jena. Darstellung eines kompletten Projektablaufs mit Modellierung, Eingabe, Web-Publikation mit Feedback und Reporting.","Cas d'utilisation: Cadastre des terrains constructibles de Ville de Jena - flux de travaux à partir de la modélisation des données, acquisition des données, publication web et reporting",assets/pdf/2015/20150610_Jena.pdf,Bernhard Ströbl (Stadt Jena),Bernhard Ströbl (Ville d'Jena)
12:15 - 12:30,Case Study: QGIS dans le cadre d'un processus de géo-cyberadministration,,assets/pdf/2015/case_study_Geo-Cyberadmin_With_QGIS.pdf,Yves Bolognini (Camptocamp SA),
12:30 - 12:40,„Gute Mitarbeiter durch gute Schulung(-sunterlagen)!“ - Ein Überblick über Materialien für die QGIS-Schulung mit Diskussion über Möglichkeiten der Mitarbeit,"""Bonne équipe avec du bon matériel de formation"" - avec une discussion sur l'amélioration du matériel de formation",assets/pdf/2015/gute_mitarbeiter_durch_schulungsunterlagen_QGIS-Anwendertreffen_Keller.pdf,Stefan Keller (Hochschule Rapperswil),
12:40 - 14:00,Mittagspause,Pause de midi,,,
14:00 - 15:30,Workshops Teil 1,Workshops partie 1,,,
,A: Analysen mit QGIS Processing,A: Analyses avec QGIS Processing,,Andreas Neumann (Stadt Uster),Andreas Neumann (Ville d'Uster)
,"B: Digitalisieren, Konstruieren und Qualitätssicherung","B: Digitaliser, construire et assurance qualité",,Bernhard Ströbl (Stadt Jena),Bernhard Ströbl (Ville d'Jena)
15:30 - 15:45,Kaffeepause,Pause café,,,
15:45 - 17:00,Workshops Teil 2 (siehe oben),Workshops partie 2 (voir ci-dessus),,siehe oben,voir ci-dessus
